date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:25:05	7930/7930	---M--	200	added ('OK')	image/png	etag:%221efa-5897d6c278580%22	https://smart-school.in/assets/admin/assets/img/qd-new.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/qd-new.png	(from https://smart-school.in/)
15:25:06	93871/93871	---M-Z	200	added ('OK')	application/javascript	etag:%2216eaf-5a3542f517080-gzip%22	https://smart-school.in/assets/admin/assets/js/jquery.min.js	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/js/jquery.min.js	(from https://smart-school.in/)
15:25:07	484531/484531	---M--	200	added ('OK')	image/png	etag:%22764b3-5897d6b8eef00%22	https://smart-school.in/assets/admin/assets/img/slide-right.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/slide-right.png	(from https://smart-school.in/)
15:25:07	36704/36704	---M-Z	200	added ('OK')	application/javascript	etag:%228f60-5a3542f32ec00-gzip%22	https://smart-school.in/assets/admin/assets/js/bootstrap.min.js	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/js/bootstrap.min.js	(from https://smart-school.in/)
15:25:08	1433/1433	---M-Z	200	added ('OK')	application/javascript	etag:%22599-5a3542f32ec00-gzip%22	https://smart-school.in/assets/admin/assets/js/scrolling-nav.js	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/js/scrolling-nav.js	(from https://smart-school.in/)
15:25:08	8137/8137	---M-Z	200	added ('OK')	application/javascript	etag:%221fc9-5a3542f517080-gzip%22	https://smart-school.in/assets/admin/assets/js/support-qdocs.js	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/js/support-qdocs.js	(from https://smart-school.in/)
15:25:08	2726/2726	---M-Z	200	added ('OK')	application/javascript	etag:%22aa6-5a3542f32ec00-gzip%22	https://smart-school.in/assets/admin/assets/js/qdocs-kite.js	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/js/qdocs-kite.js	(from https://smart-school.in/)
15:25:09	3603/3603	---M-Z	200	added ('OK')	application/javascript	etag:%22e13-5a3542f32ec00-gzip%22	https://smart-school.in/assets/admin/assets/js/jquery.easing.min.js	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/js/jquery.easing.min.js	(from https://smart-school.in/)
15:25:09	4422/4422	---M-Z	200	added ('OK')	application/javascript	etag:%221146-5a3542f32ec00-gzip%22	https://smart-school.in/assets/admin/assets/js/wodry.min.js	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/js/wodry.min.js	(from https://smart-school.in/)
15:25:10	50646/50646	---M-Z	200	added ('OK')	application/javascript	etag:%22c5d6-5a3542f32ec00-gzip%22	https://smart-school.in/assets/admin/assets/js/bootstrap-select.min.js	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/js/bootstrap-select.min.js	(from https://smart-school.in/)
15:25:10	3346/3346	---M-Z	200	added ('OK')	application/javascript	etag:%22d12-5a3542f32ec00-gzip%22	https://smart-school.in/assets/admin/assets/js/wow.min.js	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/js/wow.min.js	(from https://smart-school.in/)
